hour,day,month,day_of_week,temp,humidity,wind_speed,pm2_5,pm10,co,no2,so2,o3,aqi,aqi_24h_ago,aqi_48h_ago,aqi_72h_ago,aqi_change_24h,aqi_rolling_mean_24h,aqi_rolling_std_24h
14,3,5,4,32.8,38,29.4,21.7,97.3,209.0,7.6,5.5,79.0,74,120.0,67.0,76.0,-46.0,70.5,20.02606996544468
11,9,5,3,33.3,59,22.6,11.8,43.9,196.0,5.9,6.6,90.0,56,56.0,81.0,69.0,0.0,48.25,6.992231714398075
7,15,5,2,27.4,90,13.3,13.1,40.2,180.0,10.8,5.9,58.0,58,68.0,67.0,58.0,-10.0,68.79166666666667,7.609942961946142
4,21,5,1,27.7,91,13.7,7.6,30.5,137.0,5.9,4.0,48.0,42,44.0,43.0,56.0,-2.0,51.041666666666664,6.362110441934625
0,27,5,0,28.8,90,19.8,22.2,54.2,166.0,9.8,3.9,60.0,75,68.0,63.0,60.0,7.0,69.08333333333333,6.704422075192802
21,1,6,5,29.6,88,6.5,24.7,107.1,232.0,16.8,5.4,51.0,80,65.0,65.0,64.0,15.0,143.625,94.78112658394481
17,7,6,4,32.0,67,30.6,18.5,78.5,169.0,5.8,4.3,63.0,69,78.0,71.0,70.0,-9.0,72.70833333333333,3.6053000437971545
14,13,6,3,32.6,64,30.1,19.0,50.3,151.0,2.7,3.5,81.0,69,72.0,71.0,67.0,-3.0,71.04166666666667,1.1601786469164905
10,19,6,2,32.6,65,25.0,19.8,106.2,177.0,5.8,5.6,82.0,76,61.0,71.0,71.0,15.0,64.70833333333333,3.0571252007003697
7,25,6,1,29.8,84,20.2,23.8,102.9,187.0,11.8,5.4,43.0,78,98.0,92.0,114.0,-20.0,87.54166666666667,16.534494027748234
3,1,7,0,30.8,81,17.3,21.1,57.7,157.0,7.2,5.6,58.0,73,66.0,68.0,77.0,7.0,63.333333333333336,7.755316082290543
0,7,7,6,30.9,78,25.1,30.9,86.6,136.0,7.4,4.6,65.0,92,85.0,78.0,73.0,7.0,91.625,5.562393135272425
20,12,7,4,29.8,80,31.9,26.9,68.5,193.0,12.9,3.5,41.0,84,78.0,88.0,114.0,6.0,80.58333333333333,4.127497048342556
17,18,7,3,33.0,73,28.2,29.4,111.8,193.0,9.0,5.9,67.0,89,104.0,101.0,131.0,-15.0,88.625,9.282112297083728
13,24,7,2,32.3,68,27.4,40.7,183.5,172.0,3.9,5.2,84.0,115,91.0,86.0,108.0,24.0,96.58333333333333,11.367064041675873
9,30,7,1,29.8,80,7.5,38.0,134.1,273.0,15.5,13.0,67.0,107,120.0,145.0,107.0,-13.0,107.79166666666667,11.255835845451037
6,5,8,0,27.5,88,9.9,27.1,94.3,173.0,9.8,5.9,42.0,85,89.0,90.0,74.0,-4.0,100.125,8.558303875033864
2,11,8,6,27.9,86,26.5,13.7,46.7,120.0,4.5,2.7,43.0,60,61.0,72.0,74.0,-1.0,64.08333333333333,4.898239849495399
23,16,8,4,28.3,80,15.6,17.8,56.8,196.0,13.5,5.6,31.0,67,69.0,69.0,84.0,-2.0,69.95833333333333,3.838921572600913
19,22,8,3,29.9,70,23.7,16.2,51.7,201.0,11.2,4.5,42.0,64,67.0,64.0,65.0,-3.0,70.16666666666667,2.1602468994695725
16,28,8,2,27.5,83,17.6,9.0,13.0,370.0,17.5,9.3,85.0,50,77.0,79.0,80.0,-27.0,58.291666666666664,10.89666549181776
12,3,9,1,29.9,74,12.3,18.4,88.2,226.0,8.3,12.3,96.0,68,67.0,59.0,55.0,1.0,62.041666666666664,4.85869159938826
9,9,9,0,28.6,75,26.2,17.1,67.8,204.0,10.2,5.5,57.0,66,59.0,66.0,68.0,7.0,61.333333333333336,3.0312383273336234
5,15,9,6,26.3,84,20.0,19.9,43.9,141.0,5.6,3.6,51.0,71,78.0,72.0,92.0,-7.0,76.125,4.513867521316864
2,21,9,5,26.4,90,11.7,17.8,47.7,175.0,9.6,4.4,46.0,67,64.0,65.0,69.0,3.0,65.20833333333333,4.343702754929174
22,26,9,3,27.8,82,18.7,18.1,44.5,221.0,16.4,4.7,36.0,68,71.0,72.0,74.0,-3.0,69.0,2.1058923544875823
19,2,10,2,28.4,81,18.5,13.9,30.7,234.0,14.8,4.8,46.0,60,55.0,55.0,62.0,5.0,56.458333333333336,1.4440030912455382
15,8,10,1,37.5,23,17.3,24.0,46.6,229.0,5.6,13.0,153.0,79,77.0,67.0,62.0,2.0,71.45833333333333,4.671645894362407
12,14,10,0,32.7,48,10.0,19.5,30.3,301.0,8.4,24.9,146.0,70,78.0,114.0,77.0,-8.0,78.25,10.096275680105549
8,20,10,6,28.0,75,6.8,29.5,46.1,774.0,47.1,11.0,32.0,89,89.0,87.0,79.0,0.0,82.58333333333333,5.452695118743449
5,26,10,5,26.5,86,12.6,10.8,25.1,212.0,8.8,4.7,60.0,54,61.0,82.0,110.0,-7.0,61.125,5.101683439123871
1,1,11,4,25.0,98,8.1,36.1,80.1,440.0,38.1,6.5,26.0,102,99.0,112.0,102.0,3.0,107.125,9.88328628676172
22,6,11,2,25.7,87,6.6,28.9,46.9,785.0,48.0,8.3,39.0,88,95.0,83.0,84.0,-7.0,82.20833333333333,6.788604048516266
